"Domain","Topic","Data Source","Variable Name","Variable Label"
"1. social context","Demographics","ACS","ACS_AVG_HH_SIZE_census_tractlevel","Average household size"
"2. economic context","Income","ACS","ACS_GINI_INDEX_census_tractlevel","Gini index of income inequality"
"4. physical infrastructure","Housing","ACS","ACS_MDN_OWNER_COST_MORTGAGE_census_tractlevel","Median selected monthly owner costs for houses with a mortgage (dollars)"
"4. physical infrastructure","Housing","ACS","ACS_MDN_OWNER_COST_NO_MORTG_census_tractlevel","Median selected monthly owner costs for houses without a mortgage (dollars)"
"1. social context","Demographics","ACS","ACS_MEDIAN_AGE_census_tractlevel","Median age of total population"
"1. social context","Demographics","ACS","ACS_MEDIAN_AGE_FEMALE_census_tractlevel","Median age of female population"
"1. social context","Demographics","ACS","ACS_MEDIAN_AGE_MALE_census_tractlevel","Median age of male population"
"2. economic context","Income","ACS","ACS_MEDIAN_HH_INC_census_tractlevel","Median household income (dollars, inflation-adjusted to data file year)"
"2. economic context","Income","ACS","ACS_MEDIAN_HH_INC_BLACK_census_tractlevel","Median household income for households with a Black or African American alone householder (dollars, inflation-adjusted to data file year)"
"2. economic context","Income","ACS","ACS_MEDIAN_HH_INC_WHITE_census_tractlevel","Median household income for households with a White alone, not Hispanic or Latino householder (dollars, inflation-adjusted to data file year)"
"4. physical infrastructure","Housing","ACS","ACS_MEDIAN_HOME_VALUE_census_tractlevel","Median home value of owner-occupied housing units (dollars)"
"2. economic context","Income","ACS","ACS_MEDIAN_INC_F_census_tractlevel","Median income of female population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)"
"2. economic context","Income","ACS","ACS_MEDIAN_INC_M_census_tractlevel","Median income of male population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)"
"2. economic context","Income","ACS","ACS_MEDIAN_NONVET_INC_census_tractlevel","Median income of civilian nonveteran population (dollars, ages 18 and over, inflation-adjusted to data file year)"
"4. physical infrastructure","Housing","ACS","ACS_MEDIAN_RENT_census_tractlevel","Median gross rent (dollars)"
"2. economic context","Income","ACS","ACS_MEDIAN_VET_INC_census_tractlevel","Median income of civilian veterans (dollars, ages 18 and over, inflation-adjusted to data file year)"
"4. physical infrastructure","Housing","ACS","ACS_MEDIAN_YEAR_BUILT_census_tractlevel","Median year structure built of housing units"
"4. physical infrastructure","Housing","ACS","ACS_PCT_10UNITS_census_tractlevel","Percentage of housing in structures with 10 or more units"
"4. physical infrastructure","Housing","ACS","ACS_PCT_1UP_OWNER_1ROOM_census_tractlevel","Percentage of owner-occupied housing units with more than one occupant per room"
