"Variable_Name","Variable_Label","Group0_Rate","Group1_Rate","Rate_Difference","P_Value","Test_Used","Domain","Data_Source","N_Group0","N_Group1","Min_Expected","Significance"
"ACS_PCT_PUB_COMMT_15MIN_census_tractlevel","Percentage of workers who use public transportation with < 15-minute commute time (ages 16 and over)",40.9630186932114,14.7230398715547,-26.2399788216567,0,"Chi-square","4. physical infrastructure","ACS",17279,18685,4722.36934156379,"***"
"ACS_PCT_PUB_COMMT_29MIN_census_tractlevel","Percentage of workers who use public transportation with 15- to 29-minute commute time (ages 16 and over)",40.9630186932114,14.7230398715547,-26.2399788216567,0,"Chi-square","4. physical infrastructure","ACS",17279,18685,4722.36934156379,"***"
"ACS_PCT_PUB_COMMT_59MIN_census_tractlevel","Percentage of workers who use public transportation with 30- to 59-minute commute time (ages 16 and over)",40.9630186932114,14.7230398715547,-26.2399788216567,0,"Chi-square","4. physical infrastructure","ACS",17279,18685,4722.36934156379,"***"
"ACS_PCT_PUB_COMMT_60MINUP_census_tractlevel","Percentage of workers who use public transportation with at least 60-minute commute time (ages 16 and over)",40.9630186932114,14.7230398715547,-26.2399788216567,0,"Chi-square","4. physical infrastructure","ACS",17279,18685,4722.36934156379,"***"
"SEDA_MATH_GR8_WAG_countylevel","Grade 8 Math Cohort Scale (CS) Gap, White-Asian",37.137565831356,10.9285523146909,-26.209013516665,0,"Chi-square","3. education","SEDA",17279,18685,4064.14917695473,"***"
"SEDA_CS_MN_MATH_GR8_ASN_countylevel","Grade 8 Math Mean Cohort Scale (CS), Asian students
",37.0333931361769,10.8964409954509,-26.136952140726,0,"Chi-square","3. education","SEDA",17279,18685,4052.6183127572,"***"
"SEDA_CS_MN_MATH_GR3_ASN_countylevel","Grade 3 Math Mean Cohort Scale (CS), Asian students",35.9743040685225,10.2542146106503,-25.7200894578722,0,"Chi-square","3. education","SEDA",17279,18685,3907.04115226337,"***"
"SEDA_MATH_GR3_WAG_countylevel","Grade 3 Math Cohort Scale (CS) Gap, White-Asian",35.9743040685225,10.2649183837303,-25.7093856847922,0,"Chi-square","3. education","SEDA",17279,18685,3908.00205761317,"***"
"CCBP_CHS_RATE_countylevel","Total number of community housing services per 1,000 people",36.0379651600208,11.977522076532,-24.0604430834889,0,"Chi-square","4. physical infrastructure","CCBP",17279,18685,4067.03189300412,"***"
"CCBP_CFS_RATE_countylevel","Total number of community food services per 1,000 people",37.4327218010301,15.1725983409152,-22.260123460115,0,"Chi-square","4. physical infrastructure","CCBP",17279,18685,4469.6512345679,"***"
"ACS_MEDIAN_HH_INC_WHITE_census_tractlevel","Median household income for households with a White alone, not Hispanic or Latino householder (dollars, inflation-adjusted to data file year)",7.32681289426471,27.3053251271073,19.9785122328426,0,"Chi-square","2. economic context","ACS",17279,18685,3059.52263374486,"***"
"CDCAP_HIVDIAG_ASN_RATE_ABOVE13_countylevel","Total number of people living with diagnosed HIV at the end of the year per 100,000, Asian (ages 13 and over)",29.7991781931825,11.4690928552315,-18.330085337951,0,"Chi-square","5. healthcare context","CDCAP",17279,18685,3503.46090534979,"***"
"SEDA_CS_TOT_ELA_GR8_NAM_countylevel","Grade 8 ELA Sample size, Native American students",30.1695699982638,12.0578003746321,-18.1117696236317,0,"Chi-square","3. education","SEDA",17279,18685,3587.05967078189,"***"
"SEDA_CS_TOT_MATH_GR3_NAM_countylevel","Grade 3 Math Sample Size, Native American students
",26.3209676485908,8.35964677548836,-17.9613208731024,0,"Chi-square","3. education","SEDA",17279,18685,2935.5658436214,"***"
"SEDA_ELA_GR8_WMG_countylevel","Grade 8 ELA Cohort Scale (CS) Gap, White-Multiracial",24.8914867758551,7.04843457318705,-17.843052202668,0,"Chi-square","3. education","SEDA",17279,18685,2699.18312757202,"***"
"SEDA_CS_TOT_MATH_GR8_NAM_countylevel","Grade 8 Math Sample size, Native American students",26.0489611667342,8.29007225046829,-17.7588889162659,0,"Chi-square","3. education","SEDA",17279,18685,2906.73868312757,"***"
"CCBP_SHELTERS_RATE_countylevel","Total number of temporary shelters per 1,000 people",31.8421204930841,14.2841851752743,-17.5579353178098,0,"Chi-square","4. physical infrastructure","CCBP",17279,18685,3925.77880658436,"***"
"SEDA_CS_MN_ELA_GR8_MTR_countylevel","Grade 8 ELA Mean Cohort Scale (CS), Multiracial students
",24.4284970195034,6.93604495584694,-17.4924520636565,0,"Chi-square","3. education","SEDA",17279,18685,2650.65740740741,"***"
"SEDA_MATH_GR8_WMG_countylevel","Grade 8 Math Cohort Scale (CS) Gap, White-Multiracial",24.1449157937381,6.87717420390688,-17.2677415898312,0,"Chi-square","3. education","SEDA",17279,18685,2621.83024691358,"***"
"SEDA_CS_MN_MATH_GR8_MTR_countylevel","Grade 8 Math Mean Cohort Scale (CS), Multiracial students
",23.953932519243,6.80759967888681,-17.1463328403562,0,"Chi-square","3. education","SEDA",17279,18685,2599.72942386831,"***"
"ACS_PCT_POV_NHPI_countylevel","Percentage of Native Hawaiian or Pacific Islander population below poverty level",22.3913420915562,6.0957987690661,-16.2955433224901,0,"Chi-square","2. economic context","ACS",17279,18685,2406.10699588477,"***"
"ACS_PCT_NHPI_FEMALE_countylevel","Percentage of Native Hawaiian and other Pacific Islander alone population reporting female",21.847329127843,5.96735349210597,-15.8799756357371,0,"Chi-square","1. social context","ACS",17279,18685,2349.41358024691,"***"
"ACS_PCT_NHPI_MALE_countylevel","Percentage of Native Hawaiian and other Pacific Islander alone  population reporting male",21.847329127843,5.96735349210597,-15.8799756357371,0,"Chi-square","1. social context","ACS",17279,18685,2349.41358024691,"***"
"SEDA_CS_MN_MATH_GR3_MTR_countylevel","Grade 3 Math Mean Cohort Scale (CS), Multiracial students",21.2859540482667,5.65159218624565,-15.634361862021,0,"Chi-square","3. education","SEDA",17279,18685,2274.46296296296,"***"
"SEDA_MATH_GR3_WMG_countylevel","Grade 3 Math Cohort Scale (CS) Gap, White-Multiracial",21.2859540482667,5.65694407278566,-15.629009975481,0,"Chi-square","3. education","SEDA",17279,18685,2274.94341563786,"***"
"ACS_MEDIAN_HH_INC_BLACK_census_tractlevel","Median household income for households with a Black or African American alone householder (dollars, inflation-adjusted to data file year)",21.714219572892,6.6042279903666,-15.1099915825253,0,"Chi-square","2. economic context","ACS",17279,18685,2395.53703703704,"***"
"ACS_MEDIAN_HH_INC_AIAN_countylevel","Median household income for households with an American Indian and Alaska Native alone householder (dollars, inflation-adjusted to data file year)",21.4827246947161,6.66309874230666,-14.8196259524095,0,"Chi-square","2. economic context","ACS",17279,18685,2381.60390946502,"***"
"CCBP_SFS_RATE_countylevel","Total number of specialized food stores per 1,000 people",20.8171769199606,6.32592989028633,-14.4912470296743,0,"Chi-square","4. physical infrastructure","CCBP",17279,18685,2296.08333333333,"***"
"CDCAP_HIVDIAG_MTR_RATE_ABOVE13_countylevel","Total number of people living with diagnosed HIV at the end of the year per 100,000, multiple races (ages 13 and over)",17.1364083569651,3.75702435108376,-13.3793840058813,0,"Chi-square","5. healthcare context","CDCAP",17279,18685,1759.89814814815,"***"
"CCBP_LAB_RATE_countylevel","Total number of medical and diagnostic laboratories per 1,000 people",17.4257769546849,4.54375167246454,-12.8820252822203,0,"Chi-square","4. physical infrastructure","CCBP",17279,18685,1854.54732510288,"***"
"CDCW_ASSAULT_DTH_RATE_countylevel","Total number of deaths from assault per 100,000 population",15.4696452340992,3.17366871822317,-12.295976515876,0,"Chi-square","5. healthcare context","CDCW",17279,18685,1569.15843621399,"***"
"CDCAP_HIV_RATE_ABOVE13_countylevel","Total number of persons with HIV diagnosed during the year per 100,000 population (ages 13 and over)",15.4407083743272,3.51618945678352,-11.9245189175437,0,"Chi-square","5. healthcare context","CDCAP",17279,18685,1597.50514403292,"***"
"CDCA_PREV_DTH_HISP_RATE_BELOW74_countylevel","Total avoidable heart disease and stroke deaths per 100,000 Hispanic population (ages 74 and below)",15.3018114474217,3.997859245384,-11.3039522020377,8.77968150536027e-294,"Chi-square","5. healthcare context","CDCA",17279,18685,1629.21502057613,"***"
"SEDA_MATH_GR8_WHG_countylevel","Grade 8 Math Cohort Scale (CS) Gap, White-Hispanic",16.1351930088547,4.68290072250468,-11.45229228635,1.34581891155648e-281,"Chi-square","3. education","SEDA",17279,18685,1759.89814814815,"***"
"SEDA_CS_MN_MATH_GR8_HSP_countylevel","Grade 8 Math Mean Cohort Scale (CS), Hispanic students
",15.8921233867701,4.57586299170458,-11.3162603950655,3.67530662029918e-279,"Chi-square","3. education","SEDA",17279,18685,1730.11008230453,"***"
