"Variable_Name","Variable_Label","Group0_Rate","Group1_Rate","Rate_Difference","P_Value","Test_Used","Domain","Data_Source","N_Group0","N_Group1","Min_Expected","Significance"
"AHRF_PCT_PRESC_PEN_countylevel","Percentage of Medicare eligible beneficiaries enrolled in a prescription drug plan per 100 population",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_PRESC_ENROLLMENT_countylevel","Total number of Medicare prescription drug plan enrollees",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_ALLERGY_IMM_countylevel","Total number of non-federal allergy and immunology specialists",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_ANESTH_countylevel","Total number of non-federal anesthesiologists",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_ARBRNE_STNGLT_ISO_ROOM_countylevel","Total number of airborne infection isolation rooms in short-term, non-general, and long-term hospitals",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_ARBRNE_ST_G_ISO_ROOMS_countylevel","Total number of airborne infection isolation rooms in short-term general hospitals",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_CARDIOVAS_SPEC_countylevel","Total number of cardiovascular disease specialists",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_CHLD_PSYCH_countylevel","Total number of non-federal child psychiatrists",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_COLON_SRG_countylevel","Total number of colorectal surgeons",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_DERMATOLOGY_countylevel","Total number of dermatology specialists",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_ER_MED_countylevel","Total number of non-federal emergency medicine physicians",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_ER_VST_ST_G_HOSP_countylevel","Total number of emergency department visits in short-term general hospitals",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_GASTROENTEROLOGY_countylevel","Total number of gastroenterology specialists",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_GENRL_SURG_countylevel","Total number of general surgeons",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
"AHRF_TOT_GEN_INTERNAL_MED_countylevel","Total number of non-federal general internal medicine physicians",0,0,0,0,"Chi-square","5. healthcare context","AHRF",14888,3797,9342.5,"***"
