"Variable_Name","Variable_Label","Group0_Rate","Group1_Rate","Rate_Difference","P_Value","Test_Used","Domain","Data_Source","N_Group0","N_Group1","Min_Expected","Significance"
"ACS_AVG_HH_SIZE_countylevel","Average household size",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_GINI_INDEX_countylevel","Gini index of income inequality",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_MDN_OWNER_COST_MORTGAGE_countylevel","Median selected monthly owner costs for houses with a mortgage (dollars)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_MDN_OWNER_COST_NO_MORTG_countylevel","Median selected monthly owner costs for houses without a mortgage (dollars)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_AGE_countylevel","Median age of total population",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_AGE_FEMALE_countylevel","Median age of female population",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_AGE_MALE_countylevel","Median age of male population",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_HH_INC_countylevel","Median household income (dollars, inflation-adjusted to data file year)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_HH_INC_WHITE_countylevel","Median household income for households with a White alone, not Hispanic or Latino householder (dollars, inflation-adjusted to data file year)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_HOME_VALUE_countylevel","Median home value of owner-occupied housing units (dollars)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_INC_F_countylevel","Median income of female population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_INC_M_countylevel","Median income of male population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_RENT_countylevel","Median gross rent (dollars)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_MEDIAN_YEAR_BUILT_countylevel","Median year structure built of housing units",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_10UNITS_countylevel","Percentage of housing in structures with 10 or more units",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_1UP_OWNER_1ROOM_countylevel","Percentage of owner-occupied housing units with more than one occupant per room",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_1UP_PERS_1ROOM_countylevel","Percentage of housing units with more than one occupant per room",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_1UP_RENT_1ROOM_countylevel","Percentage of renter-occupied housing units with more than one occupant per room",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ADMIN_countylevel","Percentage of civilian employed population working in public administration (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_0_17_countylevel","Percentage of population between ages 0-17",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_0_4_countylevel","Percentage of population between ages 0-4",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_10_14_countylevel","Percentage of population between ages 10-14",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_15_17_countylevel","Percentage of population between ages 15-17",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_18_29_countylevel","Percentage of population between ages 18-29",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_18_44_countylevel","Percentage of population between ages 18-44",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_30_44_countylevel","Percentage of population between ages 30-44",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_45_64_countylevel","Percentage of population between ages 45-64",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_50_64_countylevel","Percentage of population between ages 50-64",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_5_9_countylevel","Percentage of population between ages 5-9",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_ABOVE65_countylevel","Percentage of population ages 65 and over",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AGE_ABOVE80_countylevel","Percentage of population ages 80 and over",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AIAN_countylevel","Percentage of population reporting American Indian and Alaska Native race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AIAN_COMB_countylevel","Percentage of population reporting American Indian and Alaska Native alone or in combination with one or more races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_AIAN_NONHISP_countylevel","Percentage of non-Hispanic population reporting American Indian and Alaska Native race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_API_LANG_countylevel","Percentage of population that speaks Asian and Pacific Island languages (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ARMED_FORCES_countylevel","Percentage of population in armed forces (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ART_countylevel","Percentage of employed working in arts, entertainment, recreation, and accommodation and food services (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ASIAN_countylevel","Percentage of population reporting Asian race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ASIAN_COMB_countylevel","Percentage of population reporting Asian alone or in combination with one or more races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ASIAN_NONHISP_countylevel","Percentage of non-Hispanic population reporting Asian race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_BACHELOR_DGR_countylevel","Percentage of population with a bachelor's degree (ages 25 and over)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_BLACK_countylevel","Percentage of population reporting Black or African American race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_BLACK_COMB_countylevel","Percentage of population reporting Black or African American alone or in combination with one or more races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_BLACK_FEMALE_countylevel","Percentage of Black or African American alone population reporting female",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_BLACK_MALE_countylevel","Percentage of Black or African American alone population reporting male",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_BLACK_NONHISP_countylevel","Percentage of non-Hispanic population reporting Black or African American race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_CHILDREN_GRANDPARENT_countylevel","Percentage of children living with a grandparent householder (ages 17 and below)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_CHILD_1FAM_countylevel","Percentage of families with children that are single-parent families",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COLLEGE_ASSOCIATE_DGR_countylevel","Percentage of population with some college or associate's degree (ages 25 and over)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COMMT_15MIN_countylevel","Percentage of workers with < 15-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COMMT_29MIN_countylevel","Percentage of workers with 15- to 29-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COMMT_59MIN_countylevel","Percentage of workers with 30- to 59-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COMMT_60MINUP_countylevel","Percentage of workers with at least 60-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_CONSTRUCT_countylevel","Percentage of employed working in construction (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_DIVORCED_F_countylevel","Percentage of female population divorced or separated (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_DIVORCED_M_countylevel","Percentage of male population divorced or separated (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_DRIVE_2WORK_countylevel","Percentage of workers taking a car, truck, or van to work (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_EDUC_countylevel","Percentage of employed working in educational services, and healthcare and social assistance (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_EMPLOYED_countylevel","Percentage of civilian labor force that is employed (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGLISH_countylevel","Percentage of population that only speaks English (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGL_NOT_ALL_countylevel","Percentage of population that speaks a language other than English that does not speak English at all (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGL_NOT_WELL_countylevel","Percentage of population that speaks a language other than English that does not speak English well (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
