"Variable","Domain","MissingRate"
"ACS_AVG_HH_SIZE_countylevel","1. social context",0.00278055833611389
"ACS_GINI_INDEX_countylevel","2. economic context",0.00278055833611389
"ACS_MDN_GRNDPRNT_INC_countylevel","2. economic context",1.45701256812368
"ACS_MDN_GRNDPRNT_NO_PRNT_INC_countylevel","2. economic context",4.29040151262373
"ACS_MDN_OWNER_COST_MORTGAGE_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_MDN_OWNER_COST_NO_MORTG_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_MEDIAN_AGE_countylevel","1. social context",0.00278055833611389
"ACS_MEDIAN_AGE_FEMALE_countylevel","1. social context",0.00278055833611389
"ACS_MEDIAN_AGE_MALE_countylevel","1. social context",0.00278055833611389
"ACS_MEDIAN_HH_INC_countylevel","2. economic context",0.00278055833611389
"ACS_MEDIAN_HH_INC_AIAN_countylevel","2. economic context",13.7832276721166
"ACS_MEDIAN_HH_INC_ASIAN_countylevel","2. economic context",7.17384050717384
"ACS_MEDIAN_HH_INC_BLACK_countylevel","2. economic context",0.925925925925926
"ACS_MEDIAN_HH_INC_HISP_countylevel","2. economic context",1.99644088532977
"ACS_MEDIAN_HH_INC_MULTI_countylevel","2. economic context",3.45901457012568
"ACS_MEDIAN_HH_INC_NHPI_countylevel","2. economic context",38.7081525970415
"ACS_MEDIAN_HH_INC_OTHER_countylevel","2. economic context",7.02090979868758
"ACS_MEDIAN_HH_INC_WHITE_countylevel","2. economic context",0.00278055833611389
"ACS_MEDIAN_HOME_VALUE_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_MEDIAN_INC_F_countylevel","2. economic context",0.00278055833611389
"ACS_MEDIAN_INC_M_countylevel","2. economic context",0.00278055833611389
"ACS_MEDIAN_NONVET_INC_countylevel","2. economic context",0.497719942164387
"ACS_MEDIAN_RENT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_MEDIAN_VET_INC_countylevel","2. economic context",0.497719942164387
"ACS_MEDIAN_YEAR_BUILT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_10UNITS_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_1UP_OWNER_1ROOM_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_1UP_PERS_1ROOM_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_1UP_RENT_1ROOM_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_ADMIN_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_AGE_0_17_countylevel","1. social context",0.00278055833611389
"ACS_PCT_AGE_0_4_countylevel","1. social context",0.00278055833611389
"ACS_PCT_AGE_10_14_countylevel","1. social context",0.00278055833611389
"ACS_PCT_AGE_15_17_countylevel","1. social context",0.00278055833611389
